class_pair,total_pairs,pairs_with_chunks,pairs_without_chunks,zero_pair_keys
Ceremonial Or Recreational | Ceremonial Psychedelic,9,4,5,cannabis|five_meo_dmt;cannabis|iboga;cannabis|mescaline_peyote;cannabis|salvia;cannabis|yopo
Ceremonial Psychedelic | Pharmaceutical Or Recreational,9,4,5,amphetamine_stims|five_meo_dmt;amphetamine_stims|iboga;amphetamine_stims|mescaline_peyote;amphetamine_stims|salvia;amphetamine_stims|yopo
Ceremonial Psychedelic | Non Ceremonial,9,5,4,alcohol|five_meo_dmt;alcohol|mescaline_peyote;alcohol|salvia;alcohol|yopo
Ceremonial Psychedelic | Recreational Stimulant,9,5,4,cocaine|five_meo_dmt;cocaine|mescaline_peyote;cocaine|salvia;cocaine|yopo
Ceremonial Or Recreational | Recreational Serotonergic,4,1,3,cannabis|dox;cannabis|nbome_series;cannabis|two_c_x
Deliriant | Deliriant,3,0,3,belladonna|belladonna;belladonna|brugmansia;brugmansia|brugmansia
Non Ceremonial | Recreational Serotonergic,4,1,3,alcohol|dox;alcohol|nbome_series;alcohol|two_c_x
Pharmaceutical Or Clinical Psychedelic | Recreational Serotonergic,4,1,3,dox|ketamine;ketamine|nbome_series;ketamine|two_c_x
Pharmaceutical Or Recreational | Recreational Serotonergic,4,1,3,amphetamine_stims|dox;amphetamine_stims|nbome_series;amphetamine_stims|two_c_x
Pharmaceutical | Recreational Serotonergic,4,1,3,dox|methylphenidate;methylphenidate|nbome_series;methylphenidate|two_c_x
Recreational Serotonergic | Recreational Stimulant,4,1,3,cocaine|dox;cocaine|nbome_series;cocaine|two_c_x
Ceremonial Adjunct | Ceremonial Adjunct,3,1,2,kambo|kambo;tobacco_rape|tobacco_rape
Ceremonial Adjunct | Deliriant,4,2,2,belladonna|kambo;brugmansia|kambo
Ceremonial Adjunct | Pharmaceutical,2,0,2,kambo|methylphenidate;methylphenidate|tobacco_rape
Ceremonial Adjunct | Pharmaceutical Or Clinical Psychedelic,2,0,2,kambo|ketamine;ketamine|tobacco_rape
Ceremonial Or Recreational | Deliriant,2,0,2,belladonna|cannabis;brugmansia|cannabis
Deliriant | Non Ceremonial,2,0,2,alcohol|belladonna;alcohol|brugmansia
Deliriant | Pharmaceutical,2,0,2,belladonna|methylphenidate;brugmansia|methylphenidate
Deliriant | Pharmaceutical Or Clinical Psychedelic,2,0,2,belladonna|ketamine;brugmansia|ketamine
Deliriant | Pharmaceutical Or Recreational,2,0,2,amphetamine_stims|belladonna;amphetamine_stims|brugmansia
Deliriant | Recreational Stimulant,2,0,2,belladonna|cocaine;brugmansia|cocaine
Ceremonial Adjunct | Ceremonial Or Recreational,2,1,1,cannabis|kambo
Ceremonial Adjunct | Non Ceremonial,2,1,1,alcohol|kambo
Ceremonial Adjunct | Pharmaceutical Or Recreational,2,1,1,amphetamine_stims|kambo
Ceremonial Adjunct | Recreational Stimulant,2,1,1,cocaine|kambo
Ceremonial Or Recreational | Ceremonial Or Recreational,1,0,1,cannabis|cannabis
Ceremonial Or Recreational | Pharmaceutical,1,0,1,cannabis|methylphenidate
Non Ceremonial | Non Ceremonial,1,0,1,alcohol|alcohol
Non Ceremonial | Pharmaceutical,1,0,1,alcohol|methylphenidate
Non Ceremonial | Pharmaceutical Or Clinical Psychedelic,1,0,1,alcohol|ketamine
